Token_ID,Submission_Date,Gender,Age_Group,Institution_Type,Lecture_Satisfaction_Rating,Course_Relevance_To_Industry_Rating,Number_of_Industrial_Trainings_Required,Programming_Languages_In_Curriculum
3iecc17hcyssjxsvos923iecc17fg2zb,2023-01-26,Male,20 to 24,University,4,No Response,,
79cmx9f35a8rkpzg5yyvz79cmlq1b7ma,2023-02-09,Male,20 to 24,Polytechnic,4,2.0,2.0,"FORTRAN, JavaScript, Java, C++, Python, C#, C, SQL, BASIC"
guvgwczzamuzfti9rguv2g2j7qso42c0,2023-01-10,Male,20 to 24,University,3,2.0,1.0,"Java, Python"
9d6kacm78oea59bd9dyglv2ykut38xku,2023-01-26,Male,20 to 24,University,3,No Response,,
rjnc2lqphru2g0nt3bvtirjnc97xevrr,2023-01-23,Male,20 to 24,University,1,1.0,1.0,
yflowz4s55u1r9iyflx4woxzh0jge6j8,2023-01-25,Male,20 to 24,University,3,3.0,2.0,
dwb49tji9e0en1o9ipxgnzsdwb4q85a7,2023-01-24,Female,20 to 24,University,4,3.0,2.0,"JavaScript, Java, Python, C++, C#, BASIC, FORTRAN"
a56jfgmrcgm2p5q6nz04a56ju1bpv2r1,2023-02-09,Female,20 to 24,Polytechnic,3,No Response,,"SQL, C, BASIC, FORTRAN, Java"
7a75h6zbge78lfuyzbbi7a75hm7on2e2,2023-02-10,Male,20 to 24,Polytechnic,5,4.0,1.0,"Python, C#, FORTRAN, BASIC"
pn9ngu4onjspzlk1tz6pn9hunaz5m24k,2023-01-27,Male,20 to 24,University,4,No Response,1.0,
tnlh9p4kdx6nu60a2xu29qtnlhpru0kj,2023-01-24,Female,20 to 24,University,1,2.0,2.0,
ziq4vqqlawd7kapziq4z8zvbi8s0oa4z,2023-01-27,Male,Below 20,University,4,3.0,1.0,BASIC
jfoj54xljod3oobhyg4njfoj5n10pam1,2023-02-10,Female,20 to 24,Polytechnic,4,5.0,3.0,Python
15l66ex24gygrigalfx4gt15l66exb0z,2023-02-10,Male,25 to 29,College of Education,4,5.0,1.0,"PHP, SQL, Java, C++, Python"
hw59jif03enk594v6tmhw59j4gv00fhf,2023-02-10,Male,25 to 29,University,3,3.0,1.0,
n1mozzz81t0rb2v05nfrn1mozpz4bz35,2023-01-25,Female,20 to 24,University,4,2.0,1.0,
z32rfuqxfywhwkz32rftmn7becxpeiwi,2023-01-13,Male,20 to 24,Polytechnic,3,4.0,5.0,"Python, C++, BASIC, FORTRAN, Java, SQL, JavaScript"
5hjxwv5xv6x735hjxwvszxj7rg66oplc,2023-01-24,Female,20 to 24,University,4,4.0,1.0,JavaScript
f6fauwn1gcsfb33yp9anef6fauwuw5rv,2023-01-26,Female,Below 20,University,3,No Response,,
qdph46a1g0ei8rqdph465ge3t2w14f42,2023-01-25,Female,20 to 24,University,3,3.0,2.0,
wrqlfanbcuja0j2dwrqllz7idppja5bs,2023-01-27,Male,Below 20,College of Education,3,No Response,,
sdbdu1w588nlt3vsdbdueumwg0fuqzu7,2023-01-26,Female,20 to 24,University,1,3.0,,
4ju502wfexmwcpqc0260vs4ju5shcicb,2023-01-24,Male,20 to 24,University,1,2.0,,
a6x63r44zxmrsifktxnra6x63r4ifn8z,2023-02-07,Male,Below 20,Polytechnic,1,No Response,,C
slonu5rziwm8rku0slonu520fkokgwdx,2023-01-27,Male,20 to 24,University,4,No Response,1.0,"BASIC, JavaScript, C"
jt4bpg5su4foklbq68yjt4bgtj8g6tbx,2023-01-23,Female,20 to 24,University,2,1.0,2.0,
wx020668lth5vvxfh5wx0bjwgt1ce62b,2023-01-24,Female,20 to 24,University,3,4.0,2.0,FORTRAN
5yky9z271pmy5e5ykqojd78w8sdnoegx,2023-01-25,Female,Below 20,University,4,3.0,,
bpbzdp4hkf7duxnbpbnzqgjr5ckv6lq9,2023-02-10,Male,20 to 24,Polytechnic,4,4.0,1.0,Python
