Token,Submitted At,Respondent gender,Age Group,Institution category,Please rate your satisfaction with the quality of the lectures you receive,I think the course is designed in a way that meets the current tech industry needs,How many separate industrial trainings are you expected to complete in your department?,What programming languages were you exposed to in the school curriculum?
3iecc17hcyssjxsvos923iecc17fg2zb,2023-01-26T09:33:23Z,Male,20 to 24,University,4,,,
79cmx9f35a8rkpzg5yyvz79cmlq1b7ma,2023-02-09T20:43:25Z,Male,20 to 24,Polytechnic,4,2.0,2.0,"FORTRAN, JavaScript, Java, C++, Python, C#, C, SQL, BASIC"
guvgwczzamuzfti9rguv2g2j7qso42c0,2023-01-10T18:32:38Z,Male,20 to 24,University,3,2.0,1.0,"Java, Python"
9d6kacm78oea59bd9dyglv2ykut38xku,2023-01-26T18:00:00Z,Male,20 to 24,University,3,,,
rjnc2lqphru2g0nt3bvtirjnc97xevrr,2023-01-23T17:39:49Z,Male,20 to 24,University,1,1.0,1.0,
yflowz4s55u1r9iyflx4woxzh0jge6j8,2023-01-25T06:20:43Z,Male,20 to 24,University,3,3.0,2.0,
dwb49tji9e0en1o9ipxgnzsdwb4q85a7,2023-01-24T22:20:15Z,Female,20 to 24,University,4,3.0,2.0,"JavaScript, Java, Python, C++, C#, BASIC, FORTRAN"
a56jfgmrcgm2p5q6nz04a56ju1bpv2r1,2023-02-09T20:50:29Z,Female,20 to 24,Polytechnic,3,,,"SQL, C, BASIC, FORTRAN, Java"
7a75h6zbge78lfuyzbbi7a75hm7on2e2,2023-02-10T08:15:01Z,Male,20 to 24,Polytechnic,5,4.0,1.0,"Python, C#, FORTRAN, BASIC"
pn9ngu4onjspzlk1tz6pn9hunaz5m24k,2023-01-27T05:18:06Z,Male,20 to 24,University,4,,1.0,
tnlh9p4kdx6nu60a2xu29qtnlhpru0kj,2023-01-24T18:32:48Z,Female,20 to 24,University,1,2.0,2.0,
ziq4vqqlawd7kapziq4z8zvbi8s0oa4z,2023-01-27T04:44:17Z,Male,Below 20,University,4,3.0,1.0,BASIC
jfoj54xljod3oobhyg4njfoj5n10pam1,2023-02-10T07:23:49Z,Female,20 to 24,Polytechnic,4,5.0,3.0,Python
15l66ex24gygrigalfx4gt15l66exb0z,2023-02-10T15:58:11Z,Male,25 to 29,College of Education,4,5.0,1.0,"PHP, SQL, Java, C++, Python"
hw59jif03enk594v6tmhw59j4gv00fhf,2023-02-10T15:04:56Z,Male,25 to 29,University,3,3.0,1.0,
n1mozzz81t0rb2v05nfrn1mozpz4bz35,2023-01-25T15:36:06Z,Female,20 to 24,University,4,2.0,1.0,
z32rfuqxfywhwkz32rftmn7becxpeiwi,2023-01-13T16:04:19Z,Male,20 to 24,Polytechnic,3,4.0,5.0,"Python, C++, BASIC, FORTRAN, Java, SQL, JavaScript"
5hjxwv5xv6x735hjxwvszxj7rg66oplc,2023-01-24T10:14:20Z,Female,20 to 24,University,4,4.0,1.0,JavaScript
f6fauwn1gcsfb33yp9anef6fauwuw5rv,2023-01-26T09:59:15Z,Female,Below 20,University,3,,,
qdph46a1g0ei8rqdph465ge3t2w14f42,2023-01-25T15:09:46Z,Female,20 to 24,University,3,3.0,2.0,
wrqlfanbcuja0j2dwrqllz7idppja5bs,2023-01-27T05:35:34Z,Male,Below 20,College of Education,3,,,
sdbdu1w588nlt3vsdbdueumwg0fuqzu7,2023-01-26T10:06:17Z,Female,20 to 24,University,1,3.0,,
4ju502wfexmwcpqc0260vs4ju5shcicb,2023-01-24T18:00:59Z,Male,20 to 24,University,1,2.0,,
a6x63r44zxmrsifktxnra6x63r4ifn8z,2023-02-07T20:05:51Z,Male,Below 20,Polytechnic,1,,,C
slonu5rziwm8rku0slonu520fkokgwdx,2023-01-27T04:59:59Z,Male,20 to 24,University,4,,1.0,"BASIC, JavaScript, C"
jt4bpg5su4foklbq68yjt4bgtj8g6tbx,2023-01-23T17:29:26Z,Female,20 to 24,University,2,1.0,2.0,
wx020668lth5vvxfh5wx0bjwgt1ce62b,2023-01-24T18:40:10Z,Female,20 to 24,University,3,4.0,2.0,FORTRAN
5yky9z271pmy5e5ykqojd78w8sdnoegx,2023-01-25T13:57:52Z,Female,Below 20,University,4,3.0,,
bpbzdp4hkf7duxnbpbnzqgjr5ckv6lq9,2023-02-10T02:53:43Z,Male,20 to 24,Polytechnic,4,4.0,1.0,Python
sfyt14mjst7t03oxylhmsfyt14xwe4w5,2023-01-26T17:44:53Z,Female,20 to 24,University,4,2.0,,
s9nghzvbxb9b64x1fors9ngx2y0oh9ed,2023-01-26T09:04:27Z,Male,20 to 24,University,3,,1.0,
w37je0yq4nafd6heppo4w37je0jxnw5x,2023-01-25T11:04:30Z,Male,20 to 24,University,4,,2.0,
u0zw0b3g29kthed6egpyu0zw0br26ewp,2023-01-24T00:33:03Z,Male,20 to 24,University,2,1.0,,
1850yu1iym4040u1850zn94exf7x7abm,2023-01-26T17:12:38Z,Male,20 to 24,University,4,4.0,1.0,
jbfjkmotguxkcjbfjk52kwumjsn8uhku,2023-01-25T05:38:18Z,Male,20 to 24,University,1,2.0,1.0,
eqchvola5kideqf75kji88jdrjzwyqnf,2023-02-10T22:58:06Z,Male,25 to 29,College of Education,5,4.0,,"Python, C++, C#, JavaScript, Java, Visual Basic, MatLab"
2cmgc0h3twx7jdl5me2cmgc0hobq6321,2023-01-26T18:20:40Z,Male,20 to 24,University,3,,,
3wafu5bx3l9g6z1hnb3warz66xrjlisa,2023-01-25T11:30:38Z,Female,20 to 24,University,3,1.0,1.0,"Java, JavaScript, C#, C++, BASIC"
lil6l7p7j94ph26zxlil6lsyprl4bwrf,2023-01-25T17:01:56Z,Male,Below 20,University,3,4.0,2.0,
95tpxhkmbw8ljiuo95t0gxchrgqzle93,2023-01-25T10:35:50Z,Male,20 to 24,University,1,1.0,1.0,"Java, C, C#"
6ibodoxi87elydtxl6ibodoxiytc2min,2023-01-14T11:07:17Z,Male,20 to 24,Polytechnic,5,,5.0,"Python, BASIC"
wfkqz3crcr88x5wpraiwfkqzr0fq3qnc,2023-01-27T06:04:15Z,Male,20 to 24,University,4,3.0,1.0,"FORTRAN, C#, Java, Python, MatLab"
5km9qy9154p3y575km9187r2jdxzztu4,2023-01-26T10:50:15Z,Female,20 to 24,University,1,,,
qjhg95mnvhl6kfr9np1qjhg95mxd2x5i,2023-02-09T17:21:35Z,Male,25 to 29,Polytechnic,3,2.0,2.0,"SQL, Java, JavaScript, C#, Python"
lwrq47b32xp4reilmlwrq47bydkliunz,2023-01-13T15:10:03Z,Female,20 to 24,Polytechnic,3,4.0,2.0,"Java, C, Python, Visual Basic"
ftpm6xjbqwait0ryk2ga0ftpm66qx1q8,2023-01-27T05:14:27Z,Female,Below 20,University,4,4.0,1.0,"BASIC, C#"
pirkkwc3vh9ovqwpiryv0x4prd8urcwl,2023-01-26T17:48:43Z,Female,Below 20,University,3,,,
5gkd6x9858g0vl221035gkd6x965hc1d,2023-01-26T17:50:51Z,Male,20 to 24,University,3,,,
l1u8eucif4w0fwgyrqnl1u8eulj3137f,2023-01-26T18:14:21Z,Male,30 and above,University,2,3.0,1.0,
74v0rmzce0oes74v04b1f62ebfojc0u0,2023-01-26T10:11:27Z,Female,30 and above,University,1,,,
qpgvnybeolyl36w73ubysjqpgvnybfbg,2023-02-08T05:56:01Z,Female,20 to 24,University,1,1.0,1.0,
46tavbyad0l9ugy4cm46tavbyd4k7q4t,2023-01-26T17:24:31Z,Male,Below 20,University,3,,,
r5x0e4aq2t6qi7i76cadr5x0eaoadt2o,2023-01-24T20:58:05Z,Female,20 to 24,University,3,3.0,1.0,
qqutjqkxld3987pj7qqutlb0ysbj4r3k,2023-01-23T17:45:50Z,Male,20 to 24,University,2,2.0,1.0,"Java, C, C++, PHP"
bh2vo9iuem3y8n6iex9it2bh2vo9iue7,2023-01-26T10:06:42Z,Female,20 to 24,University,3,,,
x7mv1r4iar0c7q3ivks58e0mx7mv1rx1,2023-01-16T10:53:27Z,Male,20 to 24,University,3,2.0,2.0,"C++, MatLab"
