price,time_posted,d,description,location
USD 850.00,"Posted: 10 hour(s), 23 min(s) ago",," 4 bd3 ba2,000 sqft 1119 Kenwood Dr, San Angelo, TX 76903... More Houses for Rent AdsReady to start the new year in a gorgeous new home? Come take a look at this large four bedroom, three bath Santa Rita house! With 2 living areas and large outdoor patio area, this home is perfect for entertaining!","Location: San Angelo, United States"
USD 750.00,"Posted: 10 hour(s), 25 min(s) ago",," 3 bd2 ba1,300 sqft 21117 County Road 3124, Chandler, TX 75758... More Houses for Rent AdsWelcome to 21117 CR 3124, a charming 3 bedroom and 2 bathroom home located in the beautiful city of Chandler, TX. This lovely home boasts a modern and stylish design, with wood look flooring throughout the entire house that adds warmth and elegance t...","Location: Chandler, United States"
USD 850.00,"Posted: 10 hour(s), 29 min(s) ago",," 3 bd2 ba1,528 sqft 11831 Ironstone Ct, Houston, TX 77067... More Houses for Rent AdsYOU HAVE FOUND YOUR HOME! Come take a look at this spacious one story home in the nice Camden Park subdivision! Nice location with several restaurants nearby. You'll love its delightful front garden and the HUGE fenced backyard! Lovely kitchen with p...","Location: Houston, United States"
USD 950.00,"Posted: 10 hour(s), 32 min(s) ago",," 3 bd2 ba1,121 sqft 709 Center Ave, Kerrville, TX 78028... More Houses for Rent AdsRemodeled 3/2 walking distance to the River Trail. Live like you are on vacation in this cute cottage that is close to shopping, doctors, restaurants, the river, etc. This one has been updated inside and out and even has new landscaping to give it th...","Location: Kerrville, United States"
USD 450.00,"Posted: 10 hour(s), 34 min(s) ago",," 1 bd1 ba500 sqft 722 Avenue C, Port Neches, TX 77651... More Houses for Rent AdsThis one bedroom, one bath garage apartment with an updated exterior is located in Port Neches minutes from Port Neches - Groves High School and the Port Neches Park. This apartment features hardwood and vinyl floors, window units for cooling, and la...","Location: Port Neches, United States"
USD 750.00,"Posted: 10 hour(s), 39 min(s) ago",," 3 bd2 ba1,028 sqft 3003 Tyler Ln, Taylor, TX 76574... More Houses for Rent AdsThis 3-bedroom, 2-bath home in Rob Roy Estates offers a harmonious blend of comfort, functionality, and accessibility. With its open floor plan, well-appointed kitchen, and thoughtful features such as washer and dryer hookups in the garage, this resi...","Location: Taylor, United States"
USD 950.00,"Posted: 10 hour(s), 41 min(s) ago",," 3 bd2 ba1,152 sqft 2448 Chinkapin Way, Dallas, TX 75212... More Houses for Rent AdsBELOW MARKET RENT! Lowest priced for single family home in the area. This will not last! Hurry and get your application in today. You must complete an application ONCE WE HAVE AN APPROVED APPLICATION WE WOULD THEN SCHEDULE A TIME FOR VIEWING.Applicat...","Location: Dallas, United States"
USD 950.00,"Posted: 10 hour(s), 44 min(s) ago",," 4 bd2 ba1,864 sqft 10414 Huntington Way Dr, Houston, TX 77099... More Houses for Rent AdsWhat a lovely 4 bedroom home located in the sought-out Huntington Village community! You'll be charmed by a beautiful, open layout in the kitchen which also has plenty of cabinets and counter space. Great sized dining room right off the kitchen. The ...","Location: Houston, United States"
USD 750.00,"Posted: 10 hour(s), 47 min(s) ago",," 3 bd1 ba1,217 sqft 1329 Oak Park Dr, Aransas Pass, TX 78336... More Houses for Rent AdsBeautiful open-concept house in Aransas Pass, just a short 20.4 miles to Corpus Christi and a 10-minute ferry ride to Port Aransas. Features central heat/air, two-car garage with remote opener, huge backyard, front and back porches, hardwood flooring...","Location: Aransas Pass, United States"
USD 900.00,"Posted: 10 hour(s), 49 min(s) ago",," 3 bd2 ba1,227 sqft 7218 Desilu Dr, San Antonio, TX 78240... More Houses for Rent AdsPrepare to be impressed by this remarkable home! Situated just minutes away from the thriving medical center, this residence boasts three spacious bedrooms and two full bathrooms. Step inside to discover the elegance of porcelain tile flooring that g...","Location: San Antonio, United States"
USD 750.00,"Posted: 10 hour(s), 52 min(s) ago",," 2 bd1.5 ba1,000 sqft 2434 Windy Pine Ln, Arlington, TX 76015... More Houses for Rent AdsWhat's not to love about this Duplex. When you enter the duplex you enter into the open living and dining area. Outside the sliding glass doors in the dining room there is a small storage closet. The galley style kitchen has plenty of room for all th...","Location: Arlington, United States"
USD 550.00,"Posted: 10 hour(s), 54 min(s) ago",," 4 bd1 ba1,008 sqft 1705 E Colgate St, Lubbock, TX 79403... More Houses for Rent Ads-4 Bedrooms -1 Full Baths -1 Car Garage -Kitchen with lots of cabinet and counter space -Large living room with great window -Blinds throughout the home! -Neutral paint colors throughout. - New appliances / Refrigerator, stove,...","Location: Lubbock, United States"
USD 850.00,"Posted: 10 hour(s), 56 min(s) ago",," 2 bd2 ba1,259 sqft 12206 Netherwood Ln, San Antonio, TX 78253... More Houses for Rent AdsWelcome to this charming single story residence boasting 2 bedrooms and 2 bathrooms. The interior features laminate flooring gracing the living room, while the kitchen boasts ceramic tile, and the bedrooms offer plush carpeting underfoot. This home c...","Location: San Antonio, United States"
USD 750.00,"Posted: 10 hour(s), 59 min(s) ago",," 3 bd2 ba1,135 sqft 909 W Johnson St, Denison, TX 75020... More Houses for Rent Ads3 BEDROOM 2 BATHROOM! This stunning home offers an open concept floor plan, is energy efficient, high-end finishes, quartz countertops, tall ceilings, recessed lighting, epoxy sealed concrete flooring, stainless steal appliances, large island in the ...","Location: Denison, United States"
USD 500.00,"Posted: 11 hour(s), 02 min(s) ago",," 2 bd1 ba864 sqft 775 Fulton Ave, Beaumont, TX 77701... More Houses for Rent AdsThis two bedroom, one bathroom home is in Beaumont. The home features wood, vinyl, and carpet flooring. The kitchen includes a cooktop, stove, dishwasher and refrigerator for tenant use. This home is cooled by a window unit and ceiling fans. Includes...","Location: Beaumont, United States"
