document_id,user_id,document_type,upload_date,status,verified_by
f5cfc3b9-6bbb-4072-9464-cbdbb84ccf6c,BB10000001,National ID,2024-01-01,Verified,nathan.lewis@boltbettingcompliance.com
3a661a68-a681-4441-a932-529976ff4152,BB10000003,Passport,2023-06-09,invalid,megan.martin@boltbettingcompliance.com
37d6f92c-ff1a-4034-9c04-8d7ee31900a2,BB10000003,Passport,2023-06-17,Pending,olivia.thomas@boltbettingcompliance.com
97efbc26-4dc0-4f54-8f8f-10fb095707f6,BB10000003,National ID,2023-08-20,Verified,joshua.jackson@boltbettingcompliance.com
47c3b400-6e61-41cc-a1b1-653952625c69,BB10000003,National ID,2023-10-11,Verified,nathan.lewis@boltbettingcompliance.com
ce0d02cd-5c1d-4690-9b72-6227bf0e3956,BB10000003,Utility Bill,2023-08-07,invalid,joshua.jackson@boltbettingcompliance.com
277caa0c-5065-469c-b855-593af03db7a2,BB10000005,Passport,2024-02-13,Rejected,joshua.jackson@boltbettingcompliance.com
4edfb5d8-17a9-49a7-95d6-1e15c9f930d5,BB10000005,Passport,2024-03-23,Rejected,emily.jones@boltbettingcompliance.com
260e425c-b9fe-489f-b5f6-08f9c6bf8113,BB10000005,Utility Bill,2024-01-15,,nathan.lewis@boltbettingcompliance.com
511de756-716d-4732-90d8-049928f88049,BB10000005,Utility Bill,2024-03-04,Verified,john.smith@boltbettingcompliance.com
1dff5ab8-8b95-4a69-9cce-40dd887bc119,BB10000007,National ID,2024-04-27,,sarah.davis@boltbettingcompliance.com
ecded701-0334-4e42-bc8d-a81ab57fe6ca,BB10000007,Passport,2023-06-27,,emma.white@boltbettingcompliance.com
e1222860-11ff-4463-833c-a9194c0866f1,BB10000007,Driver License,2023-10-25,Verified,michael.brown@boltbettingcompliance.com
697f46a8-0438-4f37-bf46-d9c286ab6c10,BB10000008,Passport,2023-06-02,UNKNOWN,nathan.lewis@boltbettingcompliance.com
7a4e865f-d79b-4e17-a6f0-45d94c3634bb,BB10000008,Driver License,2023-08-17,invalid,olivia.thomas@boltbettingcompliance.com
63bb532e-3632-473d-80e2-dbadd938ceb3,BB10000008,Driver License,2023-09-09,Verified,laura.taylor@boltbettingcompliance.com
1b9a7c8b-b0ca-46be-a243-c2ca5bacc66f,BB10000008,National ID,2023-11-12,Rejected,chloe.clark@boltbettingcompliance.com
a480f40f-6e26-406d-94af-b8b02d025746,BB10000009,Passport,2023-05-21,Rejected,brian.anderson@boltbettingcompliance.com
c8f1103c-fdab-4f54-b991-b1af9b3485fd,BB10000009,National ID,2023-07-22,Verified,emily.jones@boltbettingcompliance.com
5f602782-77f1-44b5-b574-9d2227d957f2,BB10000009,Driver License,2024-01-22,,daniel.miller@boltbettingcompliance.com
740581bf-b847-4d22-9109-2e9a0acfdade,BB10000010,Driver License,2023-12-05,Rejected,chloe.clark@boltbettingcompliance.com
c8324c52-e464-49a5-b83b-43a862f589b2,BB10000010,Driver License,2023-12-25,Rejected,
1189ae22-0d76-45ff-9b4f-f664804d0352,BB10000012,Driver License,2023-07-29,Rejected,
33ed03a9-7a08-4179-8178-ad3e99d4283f,BB10000013,Utility Bill,2023-12-25,,michael.brown@boltbettingcompliance.com
a9b277eb-a20e-4179-84bb-c49931bc5b77,BB10000014,Passport,2024-03-22,Rejected,michael.brown@boltbettingcompliance.com
e1a7b8c1-8a5e-44f0-92c3-9fd7b7e01be9,BB10000014,National ID,2023-05-24,Pending,kevin.moore@boltbettingcompliance.com
8bbe7940-f048-4eaf-86a8-b8bf77b7f924,BB10000014,Utility Bill,2024-03-25,invalid,
8f9244d6-9a96-4d30-82a0-14759fbea630,BB10000014,Utility Bill,2024-03-28,Verified,kevin.moore@boltbettingcompliance.com
a90f97c2-0788-4786-bac1-1073d37cf1ca,BB10000015,Passport,2024-01-30,Rejected,megan.martin@boltbettingcompliance.com
8d3695f3-62d9-46b4-90c0-72459d4118f8,BB10000015,Utility Bill,2023-10-05,invalid,alex.robinson@boltbettingcompliance.com
de41fa68-d1db-4650-bebe-f5a306c6ad5b,BB10000015,Utility Bill,2023-11-09,Verified,nathan.lewis@boltbettingcompliance.com
57637a01-724a-4436-bd92-f3f364479825,BB10000017,Driver License,2023-07-06,invalid,
8efa98fb-e761-4180-a0bd-808c90784e01,BB10000017,Driver License,2023-09-02,invalid,benjamin.walker@boltbettingcompliance.com
4925b8b0-c565-4dc6-b33a-bf77a6055984,BB10000017,Passport,2024-05-10,invalid,laura.taylor@boltbettingcompliance.com
dc2f0ede-a91e-44b1-905b-92de62dff139,BB10000017,Passport,2024-05-29,Rejected,brian.anderson@boltbettingcompliance.com
e789268e-2bb5-4213-a24b-9675fc04843c,BB10000017,National ID,2023-09-08,,zoe.lee@boltbettingcompliance.com
5cafeeba-f344-489f-ad57-8b00189b9c57,BB10000017,National ID,2023-10-14,invalid,joshua.jackson@boltbettingcompliance.com
77d80f0a-af99-4e8c-84f9-4e8f29a69262,BB10000017,National ID,2023-11-18,Rejected,nathan.lewis@boltbettingcompliance.com
a94e9510-ace7-461c-8aa8-6fcfe4ac578a,BB10000018,Passport,2023-06-14,Pending,michael.brown@boltbettingcompliance.com
da68b5d7-6770-401e-893d-53185dec7fc0,BB10000018,Passport,2023-07-20,invalid,olivia.thomas@boltbettingcompliance.com
baf5b672-2b0a-4766-b4cc-423a14a56579,BB10000018,Passport,2023-08-18,invalid,john.smith@boltbettingcompliance.com
78221a2e-cb0b-43e0-85bd-a7c306c22fbf,BB10000018,National ID,2023-06-13,Rejected,laura.taylor@boltbettingcompliance.com
9d9c185f-98c8-4c6b-ac3e-df1e94298fab,BB10000018,Driver License,2024-03-30,Verified,sarah.davis@boltbettingcompliance.com
076c43ad-429c-4587-82e0-2b4af8a112ab,BB10000018,Driver License,2024-04-30,invalid,sarah.davis@boltbettingcompliance.com
673dbb8e-dd42-48a3-afec-02459d161bfc,BB10000019,National ID,2023-12-22,Verified,nathan.lewis@boltbettingcompliance.com
40f606b4-2975-4da5-82eb-3e856b8e8afc,BB10000020,Driver License,2024-03-23,Pending,jane.doe@boltbettingcompliance.com
e40c2b21-e0d2-4bf1-87f5-cb8b425cb40f,BB10000020,Driver License,2024-04-22,,kevin.moore@boltbettingcompliance.com
4c88585f-0ffb-4ca2-82bb-8c1e209e1f57,BB10000022,Driver License,2024-02-13,Rejected,kevin.moore@boltbettingcompliance.com
70fedac0-8cbc-4de4-87ed-c58e8cbf4ad9,BB10000022,Driver License,2024-03-12,Rejected,emily.jones@boltbettingcompliance.com
bae4e6a8-e1dc-4bfe-b277-99bdb28a233b,BB10000022,Passport,2023-12-02,invalid,jane.doe@boltbettingcompliance.com
5095bade-caa3-4cce-8d44-89e611d42ac3,BB10000022,Passport,2023-12-25,invalid,laura.taylor@boltbettingcompliance.com
79a6c3ae-cc0a-46d7-a1d3-5a589b43be3a,BB10000023,Utility Bill,2024-05-01,,lisa.wilson@boltbettingcompliance.com
2370e57d-9768-4661-9ee7-6b7b9ee343d5,BB10000023,Utility Bill,2024-05-28,invalid,nathan.lewis@boltbettingcompliance.com
2e598304-c92d-4668-a9d8-1d5033230466,BB10000023,Utility Bill,2024-07-20,Pending,emily.jones@boltbettingcompliance.com
a91cb6f7-11db-4314-b3e2-9c42253d1da7,BB10000023,National ID,2023-10-15,Verified,brian.anderson@boltbettingcompliance.com
284dea52-ed4d-4b71-9a70-3f2c16260f65,BB10000023,National ID,2023-11-03,,nathan.lewis@boltbettingcompliance.com
e44b206e-92af-46c6-881e-614f627d7109,BB10000024,Driver License,2023-12-22,Verified,lisa.wilson@boltbettingcompliance.com
9a1f2cb6-6cc5-4787-87b1-62cffb52a5d9,BB10000024,National ID,2024-03-20,,lisa.wilson@boltbettingcompliance.com
e70eb296-439f-4c13-ac21-4509be91c443,BB10000024,National ID,2024-05-05,Pending,brian.anderson@boltbettingcompliance.com
494127a2-00bb-447d-81f1-d6a5a4af6385,BB10000024,Utility Bill,2024-01-15,Pending,kevin.moore@boltbettingcompliance.com
bf563d34-a8e0-46cd-aa1f-a77ddfa40d6c,BB10000026,Passport,2024-04-05,Pending,emma.white@boltbettingcompliance.com
ab21540a-eb0c-4b2e-9df7-d56553f9cb05,BB10000026,Passport,2024-05-07,Verified,michael.brown@boltbettingcompliance.com
7317222b-9577-495f-b3a9-d0e509104ad9,BB10000026,Driver License,2023-12-27,invalid,nathan.lewis@boltbettingcompliance.com
