txn_id,user_id,txn_type,amount,payment_method,status,txn_time
TSC10000001,BB10000913,Deposit,1148.95,PayPal,,"26 December 2024, 16:37"
TSC10000002,BB10003457,Deposit,1015.05,Bank Transfer,,"16 May 2024, 06:48"
TSC10000003,BB10003680,Wd,4333.43,PayPal,Failed,"Aug 15, 2024 14:24"
TSC10000004,BB10002758,Deposit,393.25,Mobile Money,processing,2024-07-27 16:10:56
TSC10000005,BB10003101,Deposit,4129.96,Mobile Money,,2025-01-31 03:18:01
TSC10000006,BB10002371,Deposit,4319.07,mpesa,,"Jan 09, 2025 07:21"
TSC10000007,BB10002188,,3204.98,PayPal,Pending,29/03/2025 00:12
TSC10000008,BB10004563,Withdrawal,4198.54,Bank Transfer,Completed,"Jun 07, 2024 21:39"
TSC10000009,BB10004647,,3242.74,mpesa,,10-08-2024 06:02 AM
TSC10000010,BB10004599,Wd,2881.39,mpesa,Pending,2024-05-18
TSC10000011,BB10000899,Withdrawal,3939.6,mpesa,cancelled,07-26-2024 12:05 AM
TSC10000012,BB10002060,Wd,-41.45,Credit Card,SUCCESS,"Nov 07, 2024 17:23"
TSC10000013,BB10002405,withdraw,-83.45,Cash,processing,16/05/2024 20:10
TSC10000014,BB10002445,,914.45,Mobile Money,SUCCESS,2024-07-18
TSC10000015,BB10004003,Deposit,1751.2,Cash,Pending,2024-12-30
TSC10000016,BB10003982,Deposit,2616.8,PayPal,cancelled,2024-11-22
TSC10000017,BB10004970,withdraw,4637.46,Crypto,cancelled,"26 July 2024, 15:54"
TSC10000018,BB10004240,withdraw,1045.96,Mobile Money,,08/12/2024 08:55
TSC10000019,BB10000483,Withdrawal,60.21,Mobile Money,Pending,"Feb 26, 2025 18:50"
TSC10000020,BB10001084,,2812.32,,cancelled,05-09-2024 12:32 PM
TSC10000021,BB10003532,deposit,2281.83,Bank Transfer,,2025-02-25 11:11:19
TSC10000022,BB10000896,Withdrawal,2635.06,PayPal,Failed,01-17-2025 03:17 AM
TSC10000023,BB10003631,Wd,3225.94,Bank Transfer,processing,08/09/2024 10:07
TSC10000024,BB10001752,withdraw,739.65,Bank Transfer,Failed,07-02-2024 10:27 PM
TSC10000025,BB10004553,,689.46,Cash,Completed,2025-04-21
TSC10000026,BB10002570,Deposit,2331.62,PayPal,SUCCESS,2024-09-07 02:04:39
TSC10000027,BB10000557,,1959.26,Crypto,Completed,2024-06-10
TSC10000028,BB10004631,Wd,1229.91,Mobile Money,cancelled,11/06/2024 11:21
TSC10000029,BB10002591,Deposit,0.0,Credit Card,Pending,2025-03-12
TSC10000030,BB10000564,Withdrawal,704.51,Cash,processing,"13 December 2024, 15:41"
TSC10000031,BB10004544,deposit,428.29,PayPal,Completed,"25 February 2025, 22:39"
TSC10000032,BB10004955,Withdrawal,938.35,Cash,Failed,2025-01-28 16:13:27
TSC10000033,BB10002267,Deposit,0.0,PayPal,Failed,19/11/2024 00:01
TSC10000034,BB10003504,Wd,0.0,Credit Card,,27/04/2025 13:40
TSC10000035,BB10004772,Wd,549.97,Cash,processing,2024-09-22 09:42:43
TSC10000036,BB10002045,,3878.59,mpesa,,24/11/2024 18:37
