user_id,favorite_sports,odds_format,marketing_opt_in
BB10000001,Baseball,Fractional,
BB10000003,Football,,
BB10000004,"Rugby,Boxing,Football,Boxing",American,No
BB10000006,"Boxing,Rugby,Boxing",Dec,Yes
BB10000007,"Rugby,Baseball,Football",Fractional,false
BB10000008,"Rugby,Cricket,Cricket,Basketball",Fractional,1
BB10000009,"Basketball,Cricket",,No
BB10000010,"Tennis,Tennis",fractional,No
BB10000011,"Cricket,Hockey,Golf,Tennis",fractional,TRUE
BB10000012,"Cricket,Hockey,Basketball,Golf",American,TRUE
BB10000013,"Cricket,Hockey,Golf,Hockey",,
BB10000014,"Basketball,Cricket,Golf",fractional,1
BB10000015,Boxing,DECIMAL,1
BB10000016,Rugby,AMERICAN,Yes
BB10000017,"Boxing,Hockey,Boxing",Fractional,
BB10000018,"Rugby,Hockey",Dec,
BB10000019,"Baseball,Cricket",,0
BB10000020,"Football,Golf,Rugby,Football",Decimal,true
BB10000021,Golf,,FALSE
BB10000022,"Boxing,Basketball,Football,Cricket",Decimal,false
BB10000024,Tennis,Dec,FALSE
BB10000025,Cricket,Decimal,
BB10000026,Hockey,,TRUE
BB10000027,"Cricket,Hockey",,
BB10000028,"Basketball,Tennis,Hockey,Rugby",Decimal,FALSE
BB10000029,"Football,Golf",,0
BB10000030,"Rugby,Football,Rugby",,Yes
BB10000031,"Tennis,Cricket,Baseball",Fractional,
BB10000032,Football,AMERICAN,0
BB10000033,"Cricket,Golf",,
BB10000034,"Hockey,Football,Boxing",,Yes
BB10000035,"Basketball,Rugby,Tennis",Decimal,TRUE
BB10000036,Football,fractional,FALSE
BB10000037,"Rugby,Basketball,Hockey,Baseball",,
BB10000040,Hockey,Fractional,
BB10000041,"Hockey,Baseball,Hockey,Tennis",American,true
BB10000042,"Boxing,Cricket,Baseball",American,false
BB10000043,Boxing,,0
BB10000044,"Cricket,Tennis,Cricket",AMERICAN,TRUE
BB10000045,"Hockey,Basketball,Hockey",fractional,
BB10000046,"Baseball,Tennis,Rugby",DECIMAL,TRUE
BB10000048,"Cricket,Football",AMERICAN,false
BB10000049,"Golf,Baseball,Tennis",DECIMAL,TRUE
BB10000050,"Rugby,Tennis",,TRUE
BB10000051,"Golf,Cricket,Basketball",American,Yes
BB10000052,"Football,Hockey,Tennis",American,
BB10000053,"Rugby,Baseball,Golf,Boxing",Dec,0
BB10000055,Boxing,,
BB10000056,Golf,,FALSE
BB10000057,"Boxing,Golf,Hockey,Baseball",DECIMAL,Yes
BB10000058,"Rugby,Tennis,Football,Tennis",,1
BB10000059,"Baseball,Football",Dec,TRUE
BB10000060,Boxing,Decimal,Yes
BB10000061,"Golf,Baseball,Boxing,Hockey",,
BB10000062,"Baseball,Boxing,Hockey,Hockey",Decimal,TRUE
BB10000064,Tennis,AMERICAN,TRUE
BB10000065,"Tennis,Football,Football,Golf",Fractional,true
BB10000066,"Basketball,Football",Fractional,0
BB10000067,"Baseball,Basketball,Rugby",American,false
BB10000068,"Rugby,Hockey,Cricket",DECIMAL,Yes
BB10000069,Boxing,,No
BB10000071,Boxing,AMERICAN,FALSE
BB10000072,"Basketball,Golf,Rugby,Rugby",,Yes
BB10000073,"Boxing,Football",,TRUE
BB10000074,"Boxing,Basketball,Basketball,Boxing",fractional,
BB10000075,Tennis,DECIMAL,FALSE
BB10000076,Football,fractional,No
BB10000077,"Cricket,Baseball,Tennis",fractional,0
BB10000078,"Basketball,Baseball",,false
BB10000079,"Tennis,Basketball,Football",Decimal,1
BB10000080,"Football,Football,Tennis,Golf",fractional,FALSE
BB10000083,Basketball,Fractional,false
BB10000084,"Rugby,Boxing,Tennis,Golf",Dec,true
BB10000085,Hockey,Fractional,1
BB10000086,"Football,Golf",DECIMAL,Yes
BB10000087,"Football,Tennis,Tennis,Boxing",DECIMAL,
BB10000088,"Hockey,Boxing,Hockey",fractional,Yes
BB10000089,"Baseball,Baseball,Hockey,Golf",,
BB10000090,"Rugby,Football,Tennis",Decimal,Yes
BB10000091,"Golf,Rugby",Dec,FALSE
BB10000092,"Cricket,Tennis,Baseball,Boxing",fractional,TRUE
BB10000093,Golf,Dec,true
BB10000094,"Cricket,Basketball,Cricket,Baseball",DECIMAL,1
BB10000095,"Boxing,Golf,Football,Rugby",fractional,
BB10000096,"Hockey,Hockey",American,Yes
BB10000097,"Cricket,Golf,Golf",DECIMAL,
BB10000098,"Boxing,Tennis",,true
BB10000099,"Boxing,Rugby,Rugby",,
BB10000100,"Golf,Tennis,Basketball,Baseball",Dec,
BB10000101,"Cricket,Rugby,Boxing,Hockey",,No
BB10000102,"Football,Hockey,Football,Basketball",Fractional,Yes
BB10000103,"Rugby,Boxing,Boxing,Boxing",,true
BB10000104,"Rugby,Hockey",Dec,false
BB10000105,"Hockey,Football,Boxing",American,TRUE
BB10000106,"Basketball,Football",DECIMAL,1
BB10000107,"Golf,Baseball,Hockey",,FALSE
BB10000108,"Rugby,Cricket,Tennis",Dec,false
BB10000109,"Rugby,Hockey,Tennis",fractional,
BB10000110,Hockey,fractional,0
BB10000111,"Basketball,Basketball,Tennis",American,true
BB10000112,"Football,Cricket,Basketball,Hockey",DECIMAL,
BB10000113,"Golf,Hockey,Boxing",,Yes
BB10000114,"Boxing,Golf,Football",Dec,
BB10000115,"Football,Golf,Golf,Baseball",AMERICAN,0
BB10000116,"Hockey,Basketball,Football",fractional,false
BB10000118,"Hockey,Basketball,Tennis",AMERICAN,
BB10000119,"Boxing,Rugby",fractional,
BB10000120,"Golf,Tennis,Cricket,Hockey",AMERICAN,Yes
BB10000121,Hockey,,true
BB10000123,"Boxing,Basketball",DECIMAL,0
